Pos,No,Driver,Team,Laps,Time,Grid,Pts,Season,Race,RaceNo
1,8,Fernando Alonso,Ferrari,49,1:39:20.396,3,25,2010,Bahrain,1
2,7,Felipe Massa,Ferrari,49,+16.0 secs,2,18,2010,Bahrain,1
3,2,Lewis Hamilton,McLaren-Mercedes,49,+23.1 secs,4,15,2010,Bahrain,1
4,5,Sebastian Vettel,RBR-Renault,49,+38.7 secs,1,12,2010,Bahrain,1
5,4,Nico Rosberg,Mercedes GP,49,+40.2 secs,5,10,2010,Bahrain,1
6,3,Michael Schumacher,Mercedes GP,49,+44.1 secs,7,8,2010,Bahrain,1
7,1,Jenson Button,McLaren-Mercedes,49,+45.2 secs,8,6,2010,Bahrain,1
8,6,Mark Webber,RBR-Renault,49,+46.3 secs,6,4,2010,Bahrain,1
9,15,Vitantonio Liuzzi,Force India-Mercedes,49,+53.0 secs,12,2,2010,Bahrain,1
10,9,Rubens Barrichello,Williams-Cosworth,49,+62.4 secs,11,1,2010,Bahrain,1
11,11,Robert Kubica,Renault,49,+69.0 secs,9,0,2010,Bahrain,1
12,14,Adrian Sutil,Force India-Mercedes,49,+82.9 secs,10,0,2010,Bahrain,1
13,17,Jaime Alguersuari,STR-Ferrari,49,+92.6 secs,18,0,2010,Bahrain,1
14,10,Nico Hulkenberg,Williams-Cosworth,48,+1 Lap,13,0,2010,Bahrain,1
15,19,Heikki Kovalainen,Lotus-Cosworth,47,+2 Laps,21,0,2010,Bahrain,1
16,16,Sebastien Buemi,STR-Ferrari,46,+3 Laps,15,0,2010,Bahrain,1
17,18,Jarno Trulli,Lotus-Cosworth,46,Hydraulics,20,0,2010,Bahrain,1
Ret,22,Pedro de la Rosa,BMW Sauber-Ferrari,28,Hydraulics,14,0,2010,Bahrain,1
Ret,21,Bruno Senna,HRT-Cosworth,17,Mechanical,23,0,2010,Bahrain,1
Ret,24,Timo Glock,Virgin-Cosworth,16,Gearbox,19,0,2010,Bahrain,1
Ret,12,Vitaly Petrov,Renault,13,Suspension,17,0,2010,Bahrain,1
Ret,23,Kamui Kobayashi,BMW Sauber-Ferrari,11,Hydraulics,16,0,2010,Bahrain,1
Ret,25,Lucas di Grassi,Virgin-Cosworth,2,Hydraulics,22,0,2010,Bahrain,1
Ret,20,Karun Chandhok,HRT-Cosworth,1,Accident,24,0,2010,Bahrain,1
1,1,Jenson Button,McLaren-Mercedes,58,1:33:36.531,4,25,2010,Australia,2
2,11,Robert Kubica,Renault,58,+12.0 secs,9,18,2010,Australia,2
3,7,Felipe Massa,Ferrari,58,+14.4 secs,5,15,2010,Australia,2
4,8,Fernando Alonso,Ferrari,58,+16.3 secs,3,12,2010,Australia,2
5,4,Nico Rosberg,Mercedes GP,58,+16.6 secs,6,10,2010,Australia,2
6,2,Lewis Hamilton,McLaren-Mercedes,58,+29.8 secs,11,8,2010,Australia,2
7,15,Vitantonio Liuzzi,Force India-Mercedes,58,+59.8 secs,13,6,2010,Australia,2
8,9,Rubens Barrichello,Williams-Cosworth,58,+60.5 secs,8,4,2010,Australia,2
9,6,Mark Webber,RBR-Renault,58,+67.3 secs,2,2,2010,Australia,2
10,3,Michael Schumacher,Mercedes GP,58,+69.3 secs,7,1,2010,Australia,2
11,17,Jaime Alguersuari,STR-Ferrari,58,+71.3 secs,17,0,2010,Australia,2
12,22,Pedro de la Rosa,BMW Sauber-Ferrari,58,+74.0 secs,14,0,2010,Australia,2
13,19,Heikki Kovalainen,Lotus-Cosworth,56,+2 Laps,19,0,2010,Australia,2
14,20,Karun Chandhok,HRT-Cosworth,53,+5 Laps,22,0,2010,Australia,2
Ret,24,Timo Glock,Virgin-Cosworth,41,Suspension,23,0,2010,Australia,2
Ret,25,Lucas di Grassi,Virgin-Cosworth,26,Hydraulics,24,0,2010,Australia,2
Ret,5,Sebastian Vettel,RBR-Renault,25,Wheel issue,1,0,2010,Australia,2
Ret,14,Adrian Sutil,Force India-Mercedes,9,Engine,10,0,2010,Australia,2
Ret,12,Vitaly Petrov,Renault,9,Spin,18,0,2010,Australia,2
Ret,21,Bruno Senna,HRT-Cosworth,4,Hydraulics,21,0,2010,Australia,2
Ret,16,Sebastien Buemi,STR-Ferrari,0,Accident,12,0,2010,Australia,2
Ret,10,Nico Hulkenberg,Williams-Cosworth,0,Accident,15,0,2010,Australia,2
Ret,23,Kamui Kobayashi,BMW Sauber-Ferrari,0,Accident,16,0,2010,Australia,2
Ret,18,Jarno Trulli,Lotus-Cosworth,0,Hydraulics,20,0,2010,Australia,2
1,5,Sebastian Vettel,RBR-Renault,56,1:33:48.412,3,25,2010,Malaysia,3
2,6,Mark Webber,RBR-Renault,56,+4.8 secs,1,18,2010,Malaysia,3
3,4,Nico Rosberg,Mercedes GP,56,+13.5 secs,2,15,2010,Malaysia,3
4,11,Robert Kubica,Renault,56,+18.5 secs,6,12,2010,Malaysia,3
5,14,Adrian Sutil,Force India-Mercedes,56,+21.0 secs,4,10,2010,Malaysia,3
6,2,Lewis Hamilton,McLaren-Mercedes,56,+23.4 secs,20,8,2010,Malaysia,3
7,7,Felipe Massa,Ferrari,56,+27.0 secs,21,6,2010,Malaysia,3
8,1,Jenson Button,McLaren-Mercedes,56,+37.9 secs,17,4,2010,Malaysia,3
9,17,Jaime Alguersuari,STR-Ferrari,56,+70.6 secs,14,2,2010,Malaysia,3
10,10,Nico Hulkenberg,Williams-Cosworth,56,+73.3 secs,5,1,2010,Malaysia,3
11,16,Sebastien Buemi,STR-Ferrari,56,+78.9 secs,13,0,2010,Malaysia,3
12,9,Rubens Barrichello,Williams-Cosworth,55,+1 Lap,7,0,2010,Malaysia,3
13,8,Fernando Alonso,Ferrari,54,+2 Laps,19,0,2010,Malaysia,3
14,25,Lucas di Grassi,Virgin-Cosworth,53,+3 Laps,24,0,2010,Malaysia,3
15,20,Karun Chandhok,HRT-Cosworth,53,+3 Laps,22,0,2010,Malaysia,3
16,21,Bruno Senna,HRT-Cosworth,52,+4 Laps,23,0,2010,Malaysia,3
17,18,Jarno Trulli,Lotus-Cosworth,51,+5 Laps,18,0,2010,Malaysia,3
DNS,22,Pedro de la Rosa,BMW Sauber-Ferrari,0,Engine,12,0,2010,Malaysia,3
Ret,19,Heikki Kovalainen,Lotus-Cosworth,46,Hydraulics,15,0,2010,Malaysia,3
Ret,12,Vitaly Petrov,Renault,32,Gearbox,11,0,2010,Malaysia,3
Ret,15,Vitantonio Liuzzi,Force India-Mercedes,12,Throttle,10,0,2010,Malaysia,3
Ret,3,Michael Schumacher,Mercedes GP,9,Wheel issue,8,0,2010,Malaysia,3
Ret,23,Kamui Kobayashi,BMW Sauber-Ferrari,8,Engine,9,0,2010,Malaysia,3
Ret,24,Timo Glock,Virgin-Cosworth,2,Spin,16,0,2010,Malaysia,3
1,1,Jenson Button,McLaren-Mercedes,56,1:46:42.163,5,25,2010,China,4
2,2,Lewis Hamilton,McLaren-Mercedes,56,+1.5 secs,6,18,2010,China,4
3,4,Nico Rosberg,Mercedes GP,56,+9.4 secs,4,15,2010,China,4
4,8,Fernando Alonso,Ferrari,56,+11.8 secs,3,12,2010,China,4
5,11,Robert Kubica,Renault,56,+22.2 secs,8,10,2010,China,4
6,5,Sebastian Vettel,RBR-Renault,56,+33.3 secs,1,8,2010,China,4
7,12,Vitaly Petrov,Renault,56,+47.6 secs,14,6,2010,China,4
8,6,Mark Webber,RBR-Renault,56,+52.1 secs,2,4,2010,China,4
9,7,Felipe Massa,Ferrari,56,+57.7 secs,7,2,2010,China,4
10,3,Michael Schumacher,Mercedes GP,56,+61.7 secs,9,1,2010,China,4
11,14,Adrian Sutil,Force India-Mercedes,56,+62.8 secs,10,0,2010,China,4
12,9,Rubens Barrichello,Williams-Cosworth,56,+63.6 secs,11,0,2010,China,4
13,17,Jaime Alguersuari,STR-Ferrari,56,+71.4 secs,12,0,2010,China,4
14,19,Heikki Kovalainen,Lotus-Cosworth,55,+1 Lap,21,0,2010,China,4
15,10,Nico Hulkenberg,Williams-Cosworth,55,+1 Lap,16,0,2010,China,4
16,21,Bruno Senna,HRT-Cosworth,54,+2 Laps,23,0,2010,China,4
17,20,Karun Chandhok,HRT-Cosworth,52,+4 Laps,24,0,2010,China,4
Ret,18,Jarno Trulli,Lotus-Cosworth,26,Hydraulics,20,0,2010,China,4
Ret,25,Lucas di Grassi,Virgin-Cosworth,8,Clutch,22,0,2010,China,4
Ret,22,Pedro de la Rosa,BMW Sauber-Ferrari,7,Technical,17,0,2010,China,4
Ret,16,Sebastien Buemi,STR-Ferrari,0,Accident,13,0,2010,China,4
Ret,23,Kamui Kobayashi,BMW Sauber-Ferrari,0,Accident,15,0,2010,China,4
Ret,15,Vitantonio Liuzzi,Force India-Mercedes,0,Accident,18,0,2010,China,4
Ret,24,Timo Glock,Virgin-Cosworth,0,Engine,19,0,2010,China,4
1,6,Mark Webber,RBR-Renault,66,1:35:44.101,1,25,2010,Spain,5
2,8,Fernando Alonso,Ferrari,66,+24.0 secs,4,18,2010,Spain,5
3,5,Sebastian Vettel,RBR-Renault,66,+51.3 secs,2,15,2010,Spain,5
4,3,Michael Schumacher,Mercedes GP,66,+62.1 secs,6,12,2010,Spain,5
5,1,Jenson Button,McLaren-Mercedes,66,+63.7 secs,5,10,2010,Spain,5
6,7,Felipe Massa,Ferrari,66,+65.7 secs,9,8,2010,Spain,5
7,14,Adrian Sutil,Force India-Mercedes,66,+72.9 secs,11,6,2010,Spain,5
8,11,Robert Kubica,Renault,66,+73.6 secs,7,4,2010,Spain,5
9,9,Rubens Barrichello,Williams-Cosworth,65,+1 Lap,17,2,2010,Spain,5
10,17,Jaime Alguersuari,STR-Ferrari,65,+1 Lap,15,1,2010,Spain,5
11,12,Vitaly Petrov,Renault,65,+1 Lap,19,0,2010,Spain,5
12,23,Kamui Kobayashi,BMW Sauber-Ferrari,65,+1 Lap,10,0,2010,Spain,5
13,4,Nico Rosberg,Mercedes GP,65,+1 Lap,8,0,2010,Spain,5
14,2,Lewis Hamilton,McLaren-Mercedes,64,Accident,3,0,2010,Spain,5
15,15,Vitantonio Liuzzi,Force India-Mercedes,64,Technical,16,0,2010,Spain,5
16,10,Nico Hulkenberg,Williams-Cosworth,64,+2 Laps,13,0,2010,Spain,5
17,18,Jarno Trulli,Lotus-Cosworth,63,+3 Laps,18,0,2010,Spain,5
18,24,Timo Glock,Virgin-Cosworth,63,+3 Laps,22,0,2010,Spain,5
19,25,Lucas di Grassi,Virgin-Cosworth,62,+4 Laps,23,0,2010,Spain,5
Ret,16,Sebastien Buemi,STR-Ferrari,42,Hydraulics,14,0,2010,Spain,5
Ret,20,Karun Chandhok,HRT-Cosworth,27,Suspension,24,0,2010,Spain,5
Ret,22,Pedro de la Rosa,BMW Sauber-Ferrari,18,Accident damage,12,0,2010,Spain,5
Ret,21,Bruno Senna,HRT-Cosworth,0,Accident,21,0,2010,Spain,5
Ret,19,Heikki Kovalainen,Lotus-Cosworth,0,Gearbox,20,0,2010,Spain,5
1,6,Mark Webber,RBR-Renault,78,1:50:13.355,1,25,2010,Monaco,6
2,5,Sebastian Vettel,RBR-Renault,78,+0.4 secs,3,18,2010,Monaco,6
3,11,Robert Kubica,Renault,78,+1.6 secs,2,15,2010,Monaco,6
4,7,Felipe Massa,Ferrari,78,+2.6 secs,4,12,2010,Monaco,6
5,2,Lewis Hamilton,McLaren-Mercedes,78,+4.3 secs,5,10,2010,Monaco,6
6,8,Fernando Alonso,Ferrari,78,+6.3 secs,24,8,2010,Monaco,6
7,4,Nico Rosberg,Mercedes GP,78,+6.6 secs,6,6,2010,Monaco,6
8,14,Adrian Sutil,Force India-Mercedes,78,+6.9 secs,12,4,2010,Monaco,6
9,15,Vitantonio Liuzzi,Force India-Mercedes,78,+7.3 secs,10,2,2010,Monaco,6
10,16,Sebastien Buemi,STR-Ferrari,78,+8.1 secs,13,1,2010,Monaco,6
11,17,Jaime Alguersuari,STR-Ferrari,78,+9.1 secs,17,0,2010,Monaco,6
12,3,Michael Schumacher,Mercedes GP,78,+25.7 secs,7,0,2010,Monaco,6
13,12,Vitaly Petrov,Renault,73,Retired,14,0,2010,Monaco,6
14,20,Karun Chandhok,HRT-Cosworth,70,Accident,23,0,2010,Monaco,6
15,18,Jarno Trulli,Lotus-Cosworth,70,Accident,19,0,2010,Monaco,6
Ret,19,Heikki Kovalainen,Lotus-Cosworth,58,Steering,18,0,2010,Monaco,6
Ret,21,Bruno Senna,HRT-Cosworth,58,Hydraulics,22,0,2010,Monaco,6
Ret,9,Rubens Barrichello,Williams-Cosworth,30,Accident,9,0,2010,Monaco,6
Ret,23,Kamui Kobayashi,BMW Sauber-Ferrari,26,Gearbox,16,0,2010,Monaco,6
Ret,25,Lucas di Grassi,Virgin-Cosworth,25,Wheel problem,21,0,2010,Monaco,6
Ret,24,Timo Glock,Virgin-Cosworth,22,Rear suspension,20,0,2010,Monaco,6
Ret,22,Pedro de la Rosa,BMW Sauber-Ferrari,21,Hydraulics,15,0,2010,Monaco,6
Ret,1,Jenson Button,McLaren-Mercedes,2,Engine,8,0,2010,Monaco,6
Ret,10,Nico Hulkenberg,Williams-Cosworth,0,Accident,11,0,2010,Monaco,6
1,2,Lewis Hamilton,McLaren-Mercedes,58,1:28:47.620,2,25,2010,Turkey,7
2,1,Jenson Button,McLaren-Mercedes,58,+2.6 secs,4,18,2010,Turkey,7
3,6,Mark Webber,RBR-Renault,58,+24.2 secs,1,15,2010,Turkey,7
4,3,Michael Schumacher,Mercedes GP,58,+31.1 secs,5,12,2010,Turkey,7
5,4,Nico Rosberg,Mercedes GP,58,+32.2 secs,6,10,2010,Turkey,7
6,11,Robert Kubica,Renault,58,+32.8 secs,7,8,2010,Turkey,7
7,7,Felipe Massa,Ferrari,58,+36.6 secs,8,6,2010,Turkey,7
8,8,Fernando Alonso,Ferrari,58,+46.5 secs,12,4,2010,Turkey,7
9,14,Adrian Sutil,Force India-Mercedes,58,+49.0 secs,11,2,2010,Turkey,7
10,23,Kamui Kobayashi,BMW Sauber-Ferrari,58,+65.6 secs,10,1,2010,Turkey,7
11,22,Pedro de la Rosa,BMW Sauber-Ferrari,58,+65.9 secs,13,0,2010,Turkey,7
12,17,Jaime Alguersuari,STR-Ferrari,58,+67.8 secs,16,0,2010,Turkey,7
13,15,Vitantonio Liuzzi,Force India-Mercedes,57,+1 Lap,18,0,2010,Turkey,7
14,9,Rubens Barrichello,Williams-Cosworth,57,+1 Lap,15,0,2010,Turkey,7
15,12,Vitaly Petrov,Renault,57,+1 Lap,9,0,2010,Turkey,7
16,16,Sebastien Buemi,STR-Ferrari,57,+1 Lap,14,0,2010,Turkey,7
17,10,Nico Hulkenberg,Williams-Cosworth,57,+1 Lap,17,0,2010,Turkey,7
18,24,Timo Glock,Virgin-Cosworth,55,+3 Laps,21,0,2010,Turkey,7
19,25,Lucas di Grassi,Virgin-Cosworth,55,+3 Laps,23,0,2010,Turkey,7
20,20,Karun Chandhok,HRT-Cosworth,52,Fuel pump,24,0,2010,Turkey,7
Ret,21,Bruno Senna,HRT-Cosworth,46,Fuel pressure,22,0,2010,Turkey,7
Ret,5,Sebastian Vettel,RBR-Renault,39,Accident,3,0,2010,Turkey,7
Ret,19,Heikki Kovalainen,Lotus-Cosworth,33,Hydraulics,20,0,2010,Turkey,7
Ret,18,Jarno Trulli,Lotus-Cosworth,32,Hydraulics,19,0,2010,Turkey,7
1,2,Lewis Hamilton,McLaren-Mercedes,70,1:33:53.456,1,25,2010,Canada,8
2,1,Jenson Button,McLaren-Mercedes,70,+2.2 secs,4,18,2010,Canada,8
3,8,Fernando Alonso,Ferrari,70,+9.2 secs,3,15,2010,Canada,8
4,5,Sebastian Vettel,RBR-Renault,70,+37.8 secs,2,12,2010,Canada,8
5,6,Mark Webber,RBR-Renault,70,+39.2 secs,7,10,2010,Canada,8
6,4,Nico Rosberg,Mercedes GP,70,+56.0 secs,10,8,2010,Canada,8
7,11,Robert Kubica,Renault,70,+57.3 secs,8,6,2010,Canada,8
8,16,Sebastien Buemi,STR-Ferrari,69,+1 Lap,15,4,2010,Canada,8
9,15,Vitantonio Liuzzi,Force India-Mercedes,69,+1 Lap,5,2,2010,Canada,8
10,14,Adrian Sutil,Force India-Mercedes,69,+1 Lap,9,1,2010,Canada,8
11,3,Michael Schumacher,Mercedes GP,69,+1 Lap,13,0,2010,Canada,8
12,17,Jaime Alguersuari,STR-Ferrari,69,+1 Lap,16,0,2010,Canada,8
13,10,Nico Hulkenberg,Williams-Cosworth,69,+1 Lap,12,0,2010,Canada,8
14,9,Rubens Barrichello,Williams-Cosworth,69,+1 Lap,11,0,2010,Canada,8
15,7,Felipe Massa,Ferrari,69,+1 Lap,6,0,2010,Canada,8
16,19,Heikki Kovalainen,Lotus-Cosworth,68,+2 Laps,19,0,2010,Canada,8
17,12,Vitaly Petrov,Renault,68,+2 Laps,14,0,2010,Canada,8
18,20,Karun Chandhok,HRT-Cosworth,66,+4 Laps,24,0,2010,Canada,8
19,25,Lucas di Grassi,Virgin-Cosworth,65,+5 Laps,23,0,2010,Canada,8
Ret,24,Timo Glock,Virgin-Cosworth,50,Steering,21,0,2010,Canada,8
Ret,18,Jarno Trulli,Lotus-Cosworth,42,Brakes,20,0,2010,Canada,8
Ret,22,Pedro de la Rosa,BMW Sauber-Ferrari,30,Engine,17,0,2010,Canada,8
Ret,21,Bruno Senna,HRT-Cosworth,13,Gearbox,22,0,2010,Canada,8
Ret,23,Kamui Kobayashi,BMW Sauber-Ferrari,1,Collision,18,0,2010,Canada,8
1,5,Sebastian Vettel,RBR-Renault,57,1:40:29.571,1,25,2010,Europe,9
2,2,Lewis Hamilton,McLaren-Mercedes,57,+5.0 secs,3,18,2010,Europe,9
3,1,Jenson Button,McLaren-Mercedes,57,+12.6 secs,7,15,2010,Europe,9
4,9,Rubens Barrichello,Williams-Cosworth,57,+25.6 secs,9,12,2010,Europe,9
5,11,Robert Kubica,Renault,57,+27.1 secs,6,10,2010,Europe,9
6,14,Adrian Sutil,Force India-Mercedes,57,+30.1 secs,13,8,2010,Europe,9
7,23,Kamui Kobayashi,BMW Sauber-Ferrari,57,+30.9 secs,18,6,2010,Europe,9
8,8,Fernando Alonso,Ferrari,57,+32.8 secs,4,4,2010,Europe,9
9,16,Sebastien Buemi,STR-Ferrari,57,+36.2 secs,11,2,2010,Europe,9
10,4,Nico Rosberg,Mercedes GP,57,+44.3 secs,12,1,2010,Europe,9
11,7,Felipe Massa,Ferrari,57,+46.6 secs,5,0,2010,Europe,9
12,22,Pedro de la Rosa,BMW Sauber-Ferrari,57,+47.4 secs,16,0,2010,Europe,9
13,17,Jaime Alguersuari,STR-Ferrari,57,+48.2 secs,17,0,2010,Europe,9
14,12,Vitaly Petrov,Renault,57,+48.2 secs,10,0,2010,Europe,9
15,3,Michael Schumacher,Mercedes GP,57,+48.8 secs,15,0,2010,Europe,9
16,15,Vitantonio Liuzzi,Force India-Mercedes,57,+50.8 secs,14,0,2010,Europe,9
17,25,Lucas di Grassi,Virgin-Cosworth,56,+1 Lap,21,0,2010,Europe,9
18,20,Karun Chandhok,HRT-Cosworth,55,+2 Laps,23,0,2010,Europe,9
19,24,Timo Glock,Virgin-Cosworth,55,+2 Laps,22,0,2010,Europe,9
20,21,Bruno Senna,HRT-Cosworth,55,+2 Laps,24,0,2010,Europe,9
21,18,Jarno Trulli,Lotus-Cosworth,53,+4 Laps,19,0,2010,Europe,9
Ret,10,Nico Hulkenberg,Williams-Cosworth,49,Exhaust,8,0,2010,Europe,9
Ret,19,Heikki Kovalainen,Lotus-Cosworth,8,Accident damage,20,0,2010,Europe,9
Ret,6,Mark Webber,RBR-Renault,8,Accident,2,0,2010,Europe,9
1,6,Mark Webber,RBR-Renault,52,1:24:38.200,2,25,2010,Britain,10
2,2,Lewis Hamilton,McLaren-Mercedes,52,+1.3 secs,4,18,2010,Britain,10
3,4,Nico Rosberg,Mercedes GP,52,+21.3 secs,5,15,2010,Britain,10
4,1,Jenson Button,McLaren-Mercedes,52,+21.9 secs,14,12,2010,Britain,10
5,9,Rubens Barrichello,Williams-Cosworth,52,+31.4 secs,8,10,2010,Britain,10
6,23,Kamui Kobayashi,BMW Sauber-Ferrari,52,+32.1 secs,12,8,2010,Britain,10
7,5,Sebastian Vettel,RBR-Renault,52,+36.7 secs,1,6,2010,Britain,10
8,14,Adrian Sutil,Force India-Mercedes,52,+40.9 secs,11,4,2010,Britain,10
9,3,Michael Schumacher,Mercedes GP,52,+41.5 secs,10,2,2010,Britain,10
10,10,Nico Hulkenberg,Williams-Cosworth,52,+42.0 secs,13,1,2010,Britain,10
11,15,Vitantonio Liuzzi,Force India-Mercedes,52,+42.4 secs,20,0,2010,Britain,10
12,16,Sebastien Buemi,STR-Ferrari,52,+47.6 secs,16,0,2010,Britain,10
13,12,Vitaly Petrov,Renault,52,+59.3 secs,15,0,2010,Britain,10
14,8,Fernando Alonso,Ferrari,52,+62.3 secs,3,0,2010,Britain,10
15,7,Felipe Massa,Ferrari,52,+67.4 secs,7,0,2010,Britain,10
16,18,Jarno Trulli,Lotus-Cosworth,51,+1 Lap,21,0,2010,Britain,10
17,19,Heikki Kovalainen,Lotus-Cosworth,51,+1 Lap,18,0,2010,Britain,10
18,24,Timo Glock,Virgin-Cosworth,50,+2 Laps,19,0,2010,Britain,10
19,20,Karun Chandhok,HRT-Cosworth,50,+2 Laps,23,0,2010,Britain,10
20,21,Sakon Yamamoto,HRT-Cosworth,50,+2 Laps,24,0,2010,Britain,10
Ret,17,Jaime Alguersuari,STR-Ferrari,44,Brakes,17,0,2010,Britain,10
Ret,22,Pedro de la Rosa,BMW Sauber-Ferrari,29,Accident damage,9,0,2010,Britain,10
Ret,11,Robert Kubica,Renault,19,Driveshaft,6,0,2010,Britain,10
Ret,25,Lucas di Grassi,Virgin-Cosworth,9,Hydraulics,22,0,2010,Britain,10
1,8,Fernando Alonso,Ferrari,67,1:27:38.864,2,25,2010,Germany,11
2,7,Felipe Massa,Ferrari,67,+4.1 secs,3,18,2010,Germany,11
3,5,Sebastian Vettel,RBR-Renault,67,+5.1 secs,1,15,2010,Germany,11
4,2,Lewis Hamilton,McLaren-Mercedes,67,+26.8 secs,6,12,2010,Germany,11
5,1,Jenson Button,McLaren-Mercedes,67,+29.4 secs,5,10,2010,Germany,11
6,6,Mark Webber,RBR-Renault,67,+43.6 secs,4,8,2010,Germany,11
7,11,Robert Kubica,Renault,66,+1 Lap,7,6,2010,Germany,11
8,4,Nico Rosberg,Mercedes GP,66,+1 Lap,9,4,2010,Germany,11
9,3,Michael Schumacher,Mercedes GP,66,+1 Lap,11,2,2010,Germany,11
10,12,Vitaly Petrov,Renault,66,+1 Lap,13,1,2010,Germany,11
11,23,Kamui Kobayashi,BMW Sauber-Ferrari,66,+1 Lap,12,0,2010,Germany,11
12,9,Rubens Barrichello,Williams-Cosworth,66,+1 Lap,8,0,2010,Germany,11
13,10,Nico Hulkenberg,Williams-Cosworth,66,+1 Lap,10,0,2010,Germany,11
14,22,Pedro de la Rosa,BMW Sauber-Ferrari,66,+1 Lap,14,0,2010,Germany,11
15,17,Jaime Alguersuari,STR-Ferrari,66,+1 Lap,15,0,2010,Germany,11
16,15,Vitantonio Liuzzi,Force India-Mercedes,65,+2 Laps,21,0,2010,Germany,11
17,14,Adrian Sutil,Force India-Mercedes,65,+2 Laps,19,0,2010,Germany,11
18,24,Timo Glock,Virgin-Cosworth,64,+3 Laps,23,0,2010,Germany,11
19,21,Bruno Senna,HRT-Cosworth,63,+4 Laps,20,0,2010,Germany,11
Ret,19,Heikki Kovalainen,Lotus-Cosworth,56,Accident damage,18,0,2010,Germany,11
Ret,25,Lucas di Grassi,Virgin-Cosworth,50,Suspension,24,0,2010,Germany,11
Ret,20,Sakon Yamamoto,HRT-Cosworth,19,Mechanical,22,0,2010,Germany,11
Ret,18,Jarno Trulli,Lotus-Cosworth,3,Gearbox,17,0,2010,Germany,11
Ret,16,Sebastien Buemi,STR-Ferrari,1,Accident damage,16,0,2010,Germany,11
1,6,Mark Webber,RBR-Renault,70,1:41:05.571,2,25,2010,Hungary,12
2,8,Fernando Alonso,Ferrari,70,+17.8 secs,3,18,2010,Hungary,12
3,5,Sebastian Vettel,RBR-Renault,70,+19.2 secs,1,15,2010,Hungary,12
4,7,Felipe Massa,Ferrari,70,+27.4 secs,4,12,2010,Hungary,12
5,12,Vitaly Petrov,Renault,70,+73.1 secs,7,10,2010,Hungary,12
6,10,Nico Hulkenberg,Williams-Cosworth,70,+76.7 secs,10,8,2010,Hungary,12
7,22,Pedro de la Rosa,BMW Sauber-Ferrari,69,+1 Lap,9,6,2010,Hungary,12
8,1,Jenson Button,McLaren-Mercedes,69,+1 Lap,11,4,2010,Hungary,12
9,23,Kamui Kobayashi,BMW Sauber-Ferrari,69,+1 Lap,23,2,2010,Hungary,12
10,9,Rubens Barrichello,Williams-Cosworth,69,+1 Lap,12,1,2010,Hungary,12
11,3,Michael Schumacher,Mercedes GP,69,+1 Lap,14,0,2010,Hungary,12
12,16,Sebastien Buemi,STR-Ferrari,69,+1 Lap,15,0,2010,Hungary,12
13,15,Vitantonio Liuzzi,Force India-Mercedes,69,+1 Lap,16,0,2010,Hungary,12
14,19,Heikki Kovalainen,Lotus-Cosworth,67,+3 Laps,19,0,2010,Hungary,12
15,18,Jarno Trulli,Lotus-Cosworth,67,+3 Laps,20,0,2010,Hungary,12
16,24,Timo Glock,Virgin-Cosworth,67,+3 Laps,18,0,2010,Hungary,12
