Pos,No,Driver,Team,Laps,Time,Grid,Pts,Season,Race,RaceNo
1,1,Sebastian Vettel,Red Bull Racing-Renault,60,1:30:35.002,1,25,2011,India,17
2,4,Jenson Button,McLaren-Mercedes,60,+8.4 secs,4,18,2011,India,17
3,5,Fernando Alonso,Ferrari,60,+24.3 secs,3,15,2011,India,17
4,2,Mark Webber,Red Bull Racing-Renault,60,+25.5 secs,2,12,2011,India,17
5,7,Michael Schumacher,Mercedes,60,+65.4 secs,11,10,2011,India,17
6,8,Nico Rosberg,Mercedes,60,+66.8 secs,7,8,2011,India,17
7,3,Lewis Hamilton,McLaren-Mercedes,60,+84.1 secs,5,6,2011,India,17
8,19,Jaime Alguersuari,STR-Ferrari,59,+1 Lap,10,4,2011,India,17
9,14,Adrian Sutil,Force India-Mercedes,59,+1 Lap,8,2,2011,India,17
10,17,Sergio Perez,Sauber-Ferrari,59,+1 Lap,20,1,2011,India,17
11,10,Vitaly Petrov,Renault,59,+1 Lap,16,0,2011,India,17
12,9,Bruno Senna,Renault,59,+1 Lap,14,0,2011,India,17
13,15,Paul di Resta,Force India-Mercedes,59,+1 Lap,12,0,2011,India,17
14,20,Heikki Kovalainen,Lotus-Renault,58,+2 Laps,18,0,2011,India,17
15,11,Rubens Barrichello,Williams-Cosworth,58,+2 Laps,15,0,2011,India,17
16,25,Jerome D'Ambrosio,Virgin-Cosworth,57,+3 Laps,21,0,2011,India,17
17,22,Narain Karthikeyan,HRT-Cosworth,57,+3 Laps,24,0,2011,India,17
18,23,Daniel Ricciardo,HRT-Cosworth,57,+3 Laps,23,0,2011,India,17
19,21,Jarno Trulli,Lotus-Renault,55,+5 Laps,19,0,2011,India,17
Ret,6,Felipe Massa,Ferrari,32,Suspension,6,0,2011,India,17
Ret,18,Sebastien Buemi,STR-Ferrari,24,Technical,9,0,2011,India,17
Ret,12,Pastor Maldonado,Williams-Cosworth,12,Gearbox,13,0,2011,India,17
Ret,24,Timo Glock,Virgin-Cosworth,2,Accident damage,22,0,2011,India,17
Ret,16,Kamui Kobayashi,Sauber-Ferrari,0,Accident damage,17,0,2011,India,17
1,3,Lewis Hamilton,McLaren-Mercedes,55,1:37:11.886,2,25,2011,Abu Dhabi,18
2,5,Fernando Alonso,Ferrari,55,+8.4 secs,5,18,2011,Abu Dhabi,18
3,4,Jenson Button,McLaren-Mercedes,55,+25.8 secs,3,15,2011,Abu Dhabi,18
4,2,Mark Webber,Red Bull Racing-Renault,55,+35.7 secs,4,12,2011,Abu Dhabi,18
5,6,Felipe Massa,Ferrari,55,+50.5 secs,6,10,2011,Abu Dhabi,18
6,8,Nico Rosberg,Mercedes,55,+52.3 secs,7,8,2011,Abu Dhabi,18
7,7,Michael Schumacher,Mercedes,55,+75.9 secs,8,6,2011,Abu Dhabi,18
8,14,Adrian Sutil,Force India-Mercedes,55,+77.1 secs,9,4,2011,Abu Dhabi,18
9,15,Paul di Resta,Force India-Mercedes,55,+101.087 secs,10,2,2011,Abu Dhabi,18
10,16,Kamui Kobayashi,Sauber-Ferrari,54,+1 Lap,16,1,2011,Abu Dhabi,18
11,17,Sergio Perez,Sauber-Ferrari,54,+1 Lap,11,0,2011,Abu Dhabi,18
12,11,Rubens Barrichello,Williams-Cosworth,54,+1 Lap,24,0,2011,Abu Dhabi,18
13,10,Vitaly Petrov,Renault,54,+1 Lap,12,0,2011,Abu Dhabi,18
14,12,Pastor Maldonado,Williams-Cosworth,54,+1 Lap,23,0,2011,Abu Dhabi,18
15,19,Jaime Alguersuari,STR-Ferrari,54,+1 Lap,15,0,2011,Abu Dhabi,18
16,9,Bruno Senna,Renault,54,+1 Lap,14,0,2011,Abu Dhabi,18
17,20,Heikki Kovalainen,Lotus-Renault,54,+1 Lap,17,0,2011,Abu Dhabi,18
18,21,Jarno Trulli,Lotus-Renault,53,+2 Laps,18,0,2011,Abu Dhabi,18
19,24,Timo Glock,Virgin-Cosworth,53,+2 Laps,19,0,2011,Abu Dhabi,18
20,23,Vitantonio Liuzzi,HRT-Cosworth,53,+2 Laps,22,0,2011,Abu Dhabi,18
Ret,22,Daniel Ricciardo,HRT-Cosworth,48,Electrical,20,0,2011,Abu Dhabi,18
Ret,18,Sebastien Buemi,STR-Ferrari,19,Hydraulics,13,0,2011,Abu Dhabi,18
Ret,25,Jerome D'Ambrosio,Virgin-Cosworth,18,Brakes,21,0,2011,Abu Dhabi,18
Ret,1,Sebastian Vettel,Red Bull Racing-Renault,1,Puncture damage,1,0,2011,Abu Dhabi,18
1,2,Mark Webber,Red Bull Racing-Renault,71,1:32:17.464,2,25,2011,Brasil,19
2,1,Sebastian Vettel,Red Bull Racing-Renault,71,+16.9 secs,1,18,2011,Brasil,19
3,4,Jenson Button,McLaren-Mercedes,71,+27.6 secs,3,15,2011,Brasil,19
4,5,Fernando Alonso,Ferrari,71,+35.0 secs,5,12,2011,Brasil,19
5,6,Felipe Massa,Ferrari,71,+66.7 secs,7,10,2011,Brasil,19
6,14,Adrian Sutil,Force India-Mercedes,70,+1 Lap,8,8,2011,Brasil,19
7,8,Nico Rosberg,Mercedes,70,+1 Lap,6,6,2011,Brasil,19
8,15,Paul di Resta,Force India-Mercedes,70,+1 Lap,11,4,2011,Brasil,19
9,16,Kamui Kobayashi,Sauber-Ferrari,70,+1 Lap,16,2,2011,Brasil,19
10,10,Vitaly Petrov,Renault,70,+1 Lap,15,1,2011,Brasil,19
11,19,Jaime Alguersuari,STR-Ferrari,70,+1 Lap,13,0,2011,Brasil,19
12,18,Sebastien Buemi,STR-Ferrari,70,+1 Lap,14,0,2011,Brasil,19
13,17,Sergio Perez,Sauber-Ferrari,70,+1 Lap,17,0,2011,Brasil,19
14,11,Rubens Barrichello,Williams-Cosworth,70,+1 Lap,12,0,2011,Brasil,19
15,7,Michael Schumacher,Mercedes,70,+1 Lap,10,0,2011,Brasil,19
16,20,Heikki Kovalainen,Lotus-Renault,69,+2 Laps,19,0,2011,Brasil,19
17,9,Bruno Senna,Renault,69,+2 Laps,9,0,2011,Brasil,19
18,21,Jarno Trulli,Lotus-Renault,69,+2 Laps,20,0,2011,Brasil,19
19,25,Jerome D'Ambrosio,Virgin-Cosworth,68,+3 Laps,23,0,2011,Brasil,19
20,22,Daniel Ricciardo,HRT-Cosworth,68,+3 Laps,22,0,2011,Brasil,19
Ret,23,Vitantonio Liuzzi,HRT-Cosworth,61,Alternator,21,0,2011,Brasil,19
Ret,3,Lewis Hamilton,McLaren-Mercedes,46,Gearbox,4,0,2011,Brasil,19
Ret,12,Pastor Maldonado,Williams-Cosworth,26,Spin,18,0,2011,Brasil,19
Ret,24,Timo Glock,Virgin-Cosworth,21,Wheel,24,0,2011,Brasil,19
1,3,Jenson Button,McLaren-Mercedes,58,1:34:09.565,2,25,2012,Austalia,1
2,1,Sebastian Vettel,Red Bull Racing-Renault,58,+2.1 secs,6,18,2012,Austalia,1
3,4,Lewis Hamilton,McLaren-Mercedes,58,+4.0 secs,1,15,2012,Austalia,1
4,2,Mark Webber,Red Bull Racing-Renault,58,+4.5 secs,5,12,2012,Austalia,1
5,5,Fernando Alonso,Ferrari,58,+21.5 secs,12,10,2012,Austalia,1
6,14,Kamui Kobayashi,Sauber-Ferrari,58,+36.7 secs,13,8,2012,Austalia,1
7,9,Kimi Rikknen,Lotus-Renault,58,+38.0 secs,17,6,2012,Austalia,1
8,15,Sergio Perez,Sauber-Ferrari,58,+39.4 secs,22,4,2012,Austalia,1
9,16,Daniel Ricciardo,STR-Ferrari,58,+39.5 secs,10,2,2012,Austalia,1
10,11,Paul di Resta,Force India-Mercedes,58,+39.7 secs,15,1,2012,Austalia,1
11,17,Jean-Eric Vergne,STR-Ferrari,58,+39.8 secs,11,0,2012,Austalia,1
12,8,Nico Rosberg,Mercedes,58,+57.6 secs,7,0,2012,Austalia,1
13,18,Pastor Maldonado,Williams-Renault,57,Accident,8,0,2012,Austalia,1
14,24,Timo Glock,Marussia-Cosworth,57,+1 Lap,20,0,2012,Austalia,1
15,25,Charles Pic,Marussia-Cosworth,53,Oil pressure,21,0,2012,Austalia,1
16,19,Bruno Senna,Williams-Renault,52,Accident damage,14,0,2012,Austalia,1
DNQ,22,Pedro de la Rosa,HRT-Cosworth,,,,0,2012,Austalia,1
DNQ,23,Narain Karthikeyan,HRT-Cosworth,,,,0,2012,Austalia,1
Ret,6,Felipe Massa,Ferrari,46,Accident damage,16,0,2012,Austalia,1
Ret,20,Heikki Kovalainen,Caterham-Renault,38,Suspension,18,0,2012,Austalia,1
Ret,21,Vitaly Petrov,Caterham-Renault,34,Steering,19,0,2012,Austalia,1
Ret,7,Michael Schumacher,Mercedes,10,Gearbox,4,0,2012,Austalia,1
Ret,10,Romain Grosjean,Lotus-Renault,1,Accident,3,0,2012,Austalia,1
Ret,12,Nico Hulkenberg,Force India-Mercedes,0,Accident damage,9,0,2012,Austalia,1
1,5,Fernando Alonso,Ferrari,56,2:44:51.812,8,25,2012,Malaysia,2
2,15,Sergio Perez,Sauber-Ferrari,56,+2.2 secs,9,18,2012,Malaysia,2
3,4,Lewis Hamilton,McLaren-Mercedes,56,+14.5 secs,1,15,2012,Malaysia,2
4,2,Mark Webber,Red Bull Racing-Renault,56,+17.6 secs,4,12,2012,Malaysia,2
5,9,Kimi Rikknen,Lotus-Renault,56,+29.4 secs,10,10,2012,Malaysia,2
6,19,Bruno Senna,Williams-Renault,56,+37.6 secs,13,8,2012,Malaysia,2
7,11,Paul di Resta,Force India-Mercedes,56,+44.4 secs,14,6,2012,Malaysia,2
8,17,Jean-Eric Vergne,STR-Ferrari,56,+46.9 secs,18,4,2012,Malaysia,2
9,12,Nico Hulkenberg,Force India-Mercedes,56,+47.8 secs,16,2,2012,Malaysia,2
10,7,Michael Schumacher,Mercedes,56,+49.9 secs,3,1,2012,Malaysia,2
11,1,Sebastian Vettel,Red Bull Racing-Renault,56,+75.5 secs,5,0,2012,Malaysia,2
12,16,Daniel Ricciardo,STR-Ferrari,56,+76.8 secs,15,0,2012,Malaysia,2
13,8,Nico Rosberg,Mercedes,56,+78.5 secs,7,0,2012,Malaysia,2
14,3,Jenson Button,McLaren-Mercedes,56,+79.7 secs,2,0,2012,Malaysia,2
15,6,Felipe Massa,Ferrari,56,+97.3 secs,12,0,2012,Malaysia,2
16,21,Vitaly Petrov,Caterham-Renault,55,+1 Lap,19,0,2012,Malaysia,2
17,24,Timo Glock,Marussia-Cosworth,55,+1 Lap,20,0,2012,Malaysia,2
18,20,Heikki Kovalainen,Caterham-Renault,55,+1 Lap,24,0,2012,Malaysia,2
19,18,Pastor Maldonado,Williams-Renault,54,Engine,11,0,2012,Malaysia,2
20,25,Charles Pic,Marussia-Cosworth,54,+2 Laps,21,0,2012,Malaysia,2
21,22,Pedro de la Rosa,HRT-Cosworth,54,+2 Laps,22,0,2012,Malaysia,2
22,23,Narain Karthikeyan,HRT-Cosworth,54,+2 Laps,23,0,2012,Malaysia,2
Ret,14,Kamui Kobayashi,Sauber-Ferrari,46,Brakes,17,0,2012,Malaysia,2
Ret,10,Romain Grosjean,Lotus-Renault,3,Spin,6,0,2012,Malaysia,2
1,8,Nico Rosberg,Mercedes,56,1:36:26.929,1,25,2012,China,3
2,3,Jenson Button,McLaren-Mercedes,56,+20.6 secs,5,18,2012,China,3
3,4,Lewis Hamilton,McLaren-Mercedes,56,+26.0 secs,7,15,2012,China,3
4,2,Mark Webber,Red Bull Racing-Renault,56,+27.9 secs,6,12,2012,China,3
5,1,Sebastian Vettel,Red Bull Racing-Renault,56,+30.4 secs,11,10,2012,China,3
6,10,Romain Grosjean,Lotus-Renault,56,+31.4 secs,10,8,2012,China,3
7,19,Bruno Senna,Williams-Renault,56,+34.5 secs,14,6,2012,China,3
8,18,Pastor Maldonado,Williams-Renault,56,+35.6 secs,13,4,2012,China,3
9,5,Fernando Alonso,Ferrari,56,+37.2 secs,9,2,2012,China,3
10,14,Kamui Kobayashi,Sauber-Ferrari,56,+38.7 secs,3,1,2012,China,3
11,15,Sergio Perez,Sauber-Ferrari,56,+41.0 secs,8,0,2012,China,3
12,11,Paul di Resta,Force India-Mercedes,56,+42.2 secs,15,0,2012,China,3
13,6,Felipe Massa,Ferrari,56,+42.7 secs,12,0,2012,China,3
14,9,Kimi Rikknen,Lotus-Renault,56,+50.5 secs,4,0,2012,China,3
15,12,Nico Hulkenberg,Force India-Mercedes,56,+51.2 secs,16,0,2012,China,3
16,17,Jean-Eric Vergne,STR-Ferrari,56,+51.7 secs,24,0,2012,China,3
17,16,Daniel Ricciardo,STR-Ferrari,56,+63.1 secs,17,0,2012,China,3
18,21,Vitaly Petrov,Caterham-Renault,55,+1 Lap,19,0,2012,China,3
19,24,Timo Glock,Marussia-Cosworth,55,+1 Lap,20,0,2012,China,3
20,25,Charles Pic,Marussia-Cosworth,55,+1 Lap,21,0,2012,China,3
21,22,Pedro de la Rosa,HRT-Cosworth,55,+1 Lap,22,0,2012,China,3
22,23,Narain Karthikeyan,HRT-Cosworth,54,+2 Laps,23,0,2012,China,3
23,20,Heikki Kovalainen,Caterham-Renault,53,+3 Laps,18,0,2012,China,3
Ret,7,Michael Schumacher,Mercedes,12,Wheel,2,0,2012,China,3
1,1,Sebastian Vettel,Red Bull Racing-Renault,57,1:35:10.990,1,25,2012,Bahrain,4
2,9,Kimi Rikknen,Lotus-Renault,57,+3.3 secs,11,18,2012,Bahrain,4
3,10,Romain Grosjean,Lotus-Renault,57,+10.1 secs,7,15,2012,Bahrain,4
4,2,Mark Webber,Red Bull Racing-Renault,57,+38.7 secs,3,12,2012,Bahrain,4
5,8,Nico Rosberg,Mercedes,57,+55.4 secs,5,10,2012,Bahrain,4
6,11,Paul di Resta,Force India-Mercedes,57,+57.5 secs,10,8,2012,Bahrain,4
7,5,Fernando Alonso,Ferrari,57,+57.8 secs,9,6,2012,Bahrain,4
8,4,Lewis Hamilton,McLaren-Mercedes,57,+58.9 secs,2,4,2012,Bahrain,4
9,6,Felipe Massa,Ferrari,57,+64.9 secs,14,2,2012,Bahrain,4
10,7,Michael Schumacher,Mercedes,57,+71.4 secs,22,1,2012,Bahrain,4
11,15,Sergio Perez,Sauber-Ferrari,57,+72.7 secs,8,0,2012,Bahrain,4
12,12,Nico Hulkenberg,Force India-Mercedes,57,+76.5 secs,13,0,2012,Bahrain,4
13,14,Kamui Kobayashi,Sauber-Ferrari,57,+90.3 secs,12,0,2012,Bahrain,4
14,17,Jean-Eric Vergne,STR-Ferrari,57,+93.7 secs,17,0,2012,Bahrain,4
15,16,Daniel Ricciardo,STR-Ferrari,56,+1 Lap,6,0,2012,Bahrain,4
16,21,Vitaly Petrov,Caterham-Renault,56,+1 Lap,18,0,2012,Bahrain,4
17,20,Heikki Kovalainen,Caterham-Renault,56,+1 Lap,16,0,2012,Bahrain,4
18,3,Jenson Button,McLaren-Mercedes,55,Exhaust/differential,4,0,2012,Bahrain,4
19,24,Timo Glock,Marussia-Cosworth,55,+2 Laps,23,0,2012,Bahrain,4
20,22,Pedro de la Rosa,HRT-Cosworth,55,+2 Laps,20,0,2012,Bahrain,4
21,23,Narain Karthikeyan,HRT-Cosworth,55,+2 Laps,24,0,2012,Bahrain,4
22,19,Bruno Senna,Williams-Renault,54,Retired,15,0,2012,Bahrain,4
Ret,18,Pastor Maldonado,Williams-Renault,25,Puncture,21,0,2012,Bahrain,4
Ret,25,Charles Pic,Marussia-Cosworth,24,Engine,19,0,2012,Bahrain,4
1,18,Pastor Maldonado,Williams-Renault,66,1:39:09.145,1,25,2012,Spain,5
2,5,Fernando Alonso,Ferrari,66,+3.1 secs,2,18,2012,Spain,5
3,9,Kimi Rikknen,Lotus-Renault,66,+3.8 secs,4,15,2012,Spain,5
4,10,Romain Grosjean,Lotus-Renault,66,+14.7 secs,3,12,2012,Spain,5
5,14,Kamui Kobayashi,Sauber-Ferrari,66,+64.6 secs,9,10,2012,Spain,5
6,1,Sebastian Vettel,Red Bull Racing-Renault,66,+67.5 secs,7,8,2012,Spain,5
7,8,Nico Rosberg,Mercedes,66,+77.9 secs,6,6,2012,Spain,5
8,4,Lewis Hamilton,McLaren-Mercedes,66,+78.1 secs,24,4,2012,Spain,5
9,3,Jenson Button,McLaren-Mercedes,66,+85.2 secs,10,2,2012,Spain,5
10,12,Nico Hulkenberg,Force India-Mercedes,65,+1 Lap,13,1,2012,Spain,5
11,2,Mark Webber,Red Bull Racing-Renault,65,+1 Lap,11,0,2012,Spain,5
12,17,Jean-Eric Vergne,STR-Ferrari,65,+1 Lap,14,0,2012,Spain,5
13,16,Daniel Ricciardo,STR-Ferrari,65,+1 Lap,15,0,2012,Spain,5
14,11,Paul di Resta,Force India-Mercedes,65,+1 Lap,12,0,2012,Spain,5
15,6,Felipe Massa,Ferrari,65,+1 Lap,16,0,2012,Spain,5
16,20,Heikki Kovalainen,Caterham-Renault,65,+1 Lap,19,0,2012,Spain,5
17,21,Vitaly Petrov,Caterham-Renault,65,+1 Lap,18,0,2012,Spain,5
18,24,Timo Glock,Marussia-Cosworth,64,+2 Laps,21,0,2012,Spain,5
19,22,Pedro de la Rosa,HRT-Cosworth,63,+3 Laps,22,0,2012,Spain,5
Ret,15,Sergio Perez,Sauber-Ferrari,37,Transmission,5,0,2012,Spain,5
Ret,25,Charles Pic,Marussia-Cosworth,35,Driveshaft,20,0,2012,Spain,5
Ret,23,Narain Karthikeyan,HRT-Cosworth,22,Wheel nut,23,0,2012,Spain,5
Ret,19,Bruno Senna,Williams-Renault,12,Accident damage,17,0,2012,Spain,5
Ret,7,Michael Schumacher,Mercedes,12,Accident,8,0,2012,Spain,5
1,2,Mark Webber,Red Bull Racing-Renault,78,1:46:06.557,1,25,2012,Monaco,6
2,8,Nico Rosberg,Mercedes,78,+0.6 secs,2,18,2012,Monaco,6
3,5,Fernando Alonso,Ferrari,78,+0.9 secs,5,15,2012,Monaco,6
4,1,Sebastian Vettel,Red Bull Racing-Renault,78,+1.3 secs,9,12,2012,Monaco,6
5,4,Lewis Hamilton,McLaren-Mercedes,78,+4.1 secs,3,10,2012,Monaco,6
6,6,Felipe Massa,Ferrari,78,+6.1 secs,7,8,2012,Monaco,6
7,11,Paul di Resta,Force India-Mercedes,78,+41.5 secs,14,6,2012,Monaco,6
8,12,Nico Hulkenberg,Force India-Mercedes,78,+42.5 secs,10,4,2012,Monaco,6
9,9,Kimi Rikknen,Lotus-Renault,78,+44.0 secs,8,2,2012,Monaco,6
10,19,Bruno Senna,Williams-Renault,78,+44.5 secs,13,1,2012,Monaco,6
11,15,Sergio Perez,Sauber-Ferrari,77,+1 Lap,23,0,2012,Monaco,6
12,17,Jean-Eric Vergne,STR-Ferrari,77,+1 Lap,16,0,2012,Monaco,6
13,20,Heikki Kovalainen,Caterham-Renault,77,+1 Lap,17,0,2012,Monaco,6
14,24,Timo Glock,Marussia-Cosworth,77,+1 Lap,19,0,2012,Monaco,6
15,23,Narain Karthikeyan,HRT-Cosworth,76,+2 Laps,22,0,2012,Monaco,6
16,3,Jenson Button,McLaren-Mercedes,70,Accident damage,12,0,2012,Monaco,6
Ret,16,Daniel Ricciardo,STR-Ferrari,65,Steering damage,15,0,2012,Monaco,6
Ret,25,Charles Pic,Marussia-Cosworth,64,Electrical,21,0,2012,Monaco,6
Ret,7,Michael Schumacher,Mercedes,63,Fuel pressure,6,0,2012,Monaco,6
Ret,21,Vitaly Petrov,Caterham-Renault,15,Electrical,18,0,2012,Monaco,6
Ret,14,Kamui Kobayashi,Sauber-Ferrari,5,Accident damage,11,0,2012,Monaco,6
Ret,22,Pedro de la Rosa,HRT-Cosworth,0,Accident damage,20,0,2012,Monaco,6
Ret,18,Pastor Maldonado,Williams-Renault,0,Accident,24,0,2012,Monaco,6
Ret,10,Romain Grosjean,Lotus-Renault,0,Accident,4,0,2012,Monaco,6
1,4,Lewis Hamilton,McLaren-Mercedes,70,1:32:29.586,2,25,2012,Canada,7
2,10,Romain Grosjean,Lotus-Renault,70,+2.5 secs,7,18,2012,Canada,7
3,15,Sergio Perez,Sauber-Ferrari,70,+5.2 secs,15,15,2012,Canada,7
4,1,Sebastian Vettel,Red Bull Racing-Renault,70,+7.2 secs,1,12,2012,Canada,7
5,5,Fernando Alonso,Ferrari,70,+13.4 secs,3,10,2012,Canada,7
6,8,Nico Rosberg,Mercedes,70,+13.8 secs,5,8,2012,Canada,7
7,2,Mark Webber,Red Bull Racing-Renault,70,+15.0 secs,4,6,2012,Canada,7
8,9,Kimi Rikknen,Lotus-Renault,70,+15.5 secs,12,4,2012,Canada,7
9,14,Kamui Kobayashi,Sauber-Ferrari,70,+24.4 secs,11,2,2012,Canada,7
10,6,Felipe Massa,Ferrari,70,+25.2 secs,6,1,2012,Canada,7
11,11,Paul di Resta,Force India-Mercedes,70,+37.6 secs,8,0,2012,Canada,7
12,12,Nico Hulkenberg,Force India-Mercedes,70,+46.2 secs,13,0,2012,Canada,7
13,18,Pastor Maldonado,Williams-Renault,70,+47.0 secs,22,0,2012,Canada,7
14,16,Daniel Ricciardo,STR-Ferrari,70,+64.4 secs,14,0,2012,Canada,7
15,17,Jean-Eric Vergne,STR-Ferrari,69,+1 Lap,19,0,2012,Canada,7
16,3,Jenson Button,McLaren-Mercedes,69,+1 Lap,10,0,2012,Canada,7
17,19,Bruno Senna,Williams-Renault,69,+1 Lap,16,0,2012,Canada,7
18,20,Heikki Kovalainen,Caterham-Renault,69,+1 Lap,17,0,2012,Canada,7
19,21,Vitaly Petrov,Caterham-Renault,69,+1 Lap,18,0,2012,Canada,7
20,25,Charles Pic,Marussia-Cosworth,67,+3 Laps,23,0,2012,Canada,7
Ret,24,Timo Glock,Marussia-Cosworth,56,Brakes,21,0,2012,Canada,7
Ret,7,Michael Schumacher,Mercedes,43,Rear wing,9,0,2012,Canada,7
Ret,22,Pedro de la Rosa,HRT-Cosworth,24,Brakes,20,0,2012,Canada,7
Ret,23,Narain Karthikeyan,HRT-Cosworth,22,Brakes,24,0,2012,Canada,7
1,5,Fernando Alonso,Ferrari,57,1:44:16.649,11,25,2012,Europe,8
2,9,Kimi Rikknen,Lotus-Renault,57,+6.4 secs,5,18,2012,Europe,8
3,7,Michael Schumacher,Mercedes,57,+12.6 secs,12,15,2012,Europe,8
4,2,Mark Webber,Red Bull Racing-Renault,57,+13.6 secs,19,12,2012,Europe,8
5,12,Nico Hulkenberg,Force India-Mercedes,57,+19.9 secs,8,10,2012,Europe,8
6,8,Nico Rosberg,Mercedes,57,+21.1 secs,6,8,2012,Europe,8
7,11,Paul di Resta,Force India-Mercedes,57,+22.8 secs,10,6,2012,Europe,8
8,3,Jenson Button,McLaren-Mercedes,57,+24.6 secs,9,4,2012,Europe,8
9,15,Sergio Perez,Sauber-Ferrari,57,+27.7 secs,15,2,2012,Europe,8
10,19,Bruno Senna,Williams-Renault,57,+35.9 secs,14,1,2012,Europe,8
11,16,Daniel Ricciardo,STR-Ferrari,57,+37.0 secs,17,0,2012,Europe,8
12,18,Pastor Maldonado,Williams-Renault,57,+54.6 secs,3,0,2012,Europe,8
13,21,Vitaly Petrov,Caterham-Renault,57,+75.8 secs,20,0,2012,Europe,8
14,20,Heikki Kovalainen,Caterham-Renault,57,+94.6 secs,16,0,2012,Europe,8
15,25,Charles Pic,Marussia-Cosworth,57,+96.5 secs,23,0,2012,Europe,8
16,6,Felipe Massa,Ferrari,56,+1 Lap,13,0,2012,Europe,8
17,22,Pedro de la Rosa,HRT-Cosworth,56,+1 Lap,21,0,2012,Europe,8
18,23,Narain Karthikeyan,HRT-Cosworth,56,+1 Lap,22,0,2012,Europe,8
19,4,Lewis Hamilton,McLaren-Mercedes,55,Accident,2,0,2012,Europe,8
DNS,24,Timo Glock,Marussia-Cosworth,,DNS,,0,2012,Europe,8
Ret,10,Romain Grosjean,Lotus-Renault,40,Alternator,4,0,2012,Europe,8
Ret,1,Sebastian Vettel,Red Bull Racing-Renault,33,Alternator,1,0,2012,Europe,8
Ret,14,Kamui Kobayashi,Sauber-Ferrari,33,Accident damage,7,0,2012,Europe,8
Ret,17,Jean-Eric Vergne,STR-Ferrari,26,Accident damage,18,0,2012,Europe,8
1,2,Mark Webber,Red Bull Racing-Renault,52,1:25:11.288,2,25,2012,Britain,9
2,5,Fernando Alonso,Ferrari,52,+3.0 secs,1,18,2012,Britain,9
3,1,Sebastian Vettel,Red Bull Racing-Renault,52,+4.8 secs,4,15,2012,Britain,9
4,6,Felipe Massa,Ferrari,52,+9.5 secs,5,12,2012,Britain,9
5,9,Kimi Rikknen,Lotus-Renault,52,+10.3 secs,6,10,2012,Britain,9
6,10,Romain Grosjean,Lotus-Renault,52,+17.1 secs,9,8,2012,Britain,9
7,7,Michael Schumacher,Mercedes,52,+29.1 secs,3,6,2012,Britain,9
8,4,Lewis Hamilton,McLaren-Mercedes,52,+36.4 secs,8,4,2012,Britain,9
9,19,Bruno Senna,Williams-Renault,52,+43.3 secs,13,2,2012,Britain,9
10,3,Jenson Button,McLaren-Mercedes,52,+44.4 secs,16,1,2012,Britain,9
11,14,Kamui Kobayashi,Sauber-Ferrari,52,+45.3 secs,17,0,2012,Britain,9
12,12,Nico Hulkenberg,Force India-Mercedes,52,+47.8 secs,14,0,2012,Britain,9
13,16,Daniel Ricciardo,STR-Ferrari,52,+51.2 secs,12,0,2012,Britain,9
14,17,Jean-Eric Vergne,STR-Ferrari,52,+53.3 secs,23,0,2012,Britain,9
