Pos,No,Driver,Team,Laps,Time,Grid,Pts,Season,Race,RaceNo
15,8,Nico Rosberg,Mercedes,52,+57.3 secs,11,0,2012,Britain,9
16,18,Pastor Maldonado,Williams-Renault,51,+1 Lap,7,0,2012,Britain,9
17,20,Heikki Kovalainen,Caterham-Renault,51,+1 Lap,19,0,2012,Britain,9
18,24,Timo Glock,Marussia-Cosworth,51,+1 Lap,20,0,2012,Britain,9
19,25,Charles Pic,Marussia-Cosworth,51,+1 Lap,24,0,2012,Britain,9
20,22,Pedro de la Rosa,HRT-Cosworth,50,+2 Laps,21,0,2012,Britain,9
21,23,Narain Karthikeyan,HRT-Cosworth,50,+2 Laps,22,0,2012,Britain,9
DNS,21,Vitaly Petrov,Caterham-Renault,0,Engine,18,0,2012,Britain,9
Ret,15,Sergio Perez,Sauber-Ferrari,11,Accident,15,0,2012,Britain,9
Ret,11,Paul di Resta,Force India-Mercedes,2,Retired,10,0,2012,Britain,9
1,5,Fernando Alonso,Ferrari,67,1:31:05.862,1,25,2012,Germany,10
2,3,Jenson Button,McLaren-Mercedes,67,+6.9 secs,6,18,2012,Germany,10
3,9,Kimi Rikknen,Lotus-Renault,67,+16.4 secs,10,15,2012,Germany,10
4,14,Kamui Kobayashi,Sauber-Ferrari,67,+21.9 secs,12,12,2012,Germany,10
5,1,Sebastian Vettel,Red Bull Racing-Renault,67,+23.7 secs,2,10,2012,Germany,10
6,15,Sergio Perez,Sauber-Ferrari,67,+27.8 secs,17,8,2012,Germany,10
7,7,Michael Schumacher,Mercedes,67,+28.9 secs,3,6,2012,Germany,10
8,2,Mark Webber,Red Bull Racing-Renault,67,+46.9 secs,8,4,2012,Germany,10
9,12,Nico Hulkenberg,Force India-Mercedes,67,+48.1 secs,4,2,2012,Germany,10
10,8,Nico Rosberg,Mercedes,67,+48.8 secs,21,1,2012,Germany,10
11,11,Paul di Resta,Force India-Mercedes,67,+59.2 secs,9,0,2012,Germany,10
12,6,Felipe Massa,Ferrari,67,+71.4 secs,13,0,2012,Germany,10
13,16,Daniel Ricciardo,STR-Ferrari,67,+76.8 secs,11,0,2012,Germany,10
14,17,Jean-Eric Vergne,STR-Ferrari,67,+76.9 secs,15,0,2012,Germany,10
15,18,Pastor Maldonado,Williams-Renault,66,+1 Lap,5,0,2012,Germany,10
16,21,Vitaly Petrov,Caterham-Renault,66,+1 Lap,18,0,2012,Germany,10
17,19,Bruno Senna,Williams-Renault,66,+1 Lap,14,0,2012,Germany,10
18,10,Romain Grosjean,Lotus-Renault,66,+1 Lap,19,0,2012,Germany,10
19,20,Heikki Kovalainen,Caterham-Renault,65,+2 Laps,16,0,2012,Germany,10
20,25,Charles Pic,Marussia-Cosworth,65,+2 Laps,20,0,2012,Germany,10
21,22,Pedro de la Rosa,HRT-Cosworth,64,+3 Laps,23,0,2012,Germany,10
22,24,Timo Glock,Marussia-Cosworth,64,+3 Laps,22,0,2012,Germany,10
23,23,Narain Karthikeyan,HRT-Cosworth,64,+3 Laps,24,0,2012,Germany,10
Ret,4,Lewis Hamilton,McLaren-Mercedes,56,Puncture damage,7,0,2012,Germany,10
1,4,Lewis Hamilton,McLaren-Mercedes,69,1:41:05.503,1,25,2012,Hungary,11
2,9,Kimi Rikknen,Lotus-Renault,69,+1.0 secs,5,18,2012,Hungary,11
3,10,Romain Grosjean,Lotus-Renault,69,+10.5 secs,2,15,2012,Hungary,11
4,1,Sebastian Vettel,Red Bull Racing-Renault,69,+11.6 secs,3,12,2012,Hungary,11
5,5,Fernando Alonso,Ferrari,69,+26.6 secs,6,10,2012,Hungary,11
6,3,Jenson Button,McLaren-Mercedes,69,+30.2 secs,4,8,2012,Hungary,11
7,19,Bruno Senna,Williams-Renault,69,+33.8 secs,9,6,2012,Hungary,11
8,2,Mark Webber,Red Bull Racing-Renault,69,+34.4 secs,11,4,2012,Hungary,11
9,6,Felipe Massa,Ferrari,69,+38.3 secs,7,2,2012,Hungary,11
10,8,Nico Rosberg,Mercedes,69,+51.2 secs,13,1,2012,Hungary,11
11,12,Nico Hulkenberg,Force India-Mercedes,69,+57.2 secs,10,0,2012,Hungary,11
12,11,Paul di Resta,Force India-Mercedes,69,+62.8 secs,12,0,2012,Hungary,11
13,18,Pastor Maldonado,Williams-Renault,69,+63.6 secs,8,0,2012,Hungary,11
14,15,Sergio Perez,Sauber-Ferrari,69,+64.4 secs,14,0,2012,Hungary,11
15,16,Daniel Ricciardo,STR-Ferrari,68,+1 Lap,18,0,2012,Hungary,11
16,17,Jean-Eric Vergne,STR-Ferrari,68,+1 Lap,16,0,2012,Hungary,11
17,20,Heikki Kovalainen,Caterham-Renault,68,+1 Lap,19,0,2012,Hungary,11
18,14,Kamui Kobayashi,Sauber-Ferrari,67,Hydraulics,15,0,2012,Hungary,11
19,21,Vitaly Petrov,Caterham-Renault,67,+2 Laps,20,0,2012,Hungary,11
20,25,Charles Pic,Marussia-Cosworth,67,+2 Laps,21,0,2012,Hungary,11
21,24,Timo Glock,Marussia-Cosworth,66,+3 Laps,22,0,2012,Hungary,11
22,22,Pedro de la Rosa,HRT-Cosworth,66,+3 Laps,23,0,2012,Hungary,11
Ret,23,Narain Karthikeyan,HRT-Cosworth,60,Steering,24,0,2012,Hungary,11
Ret,7,Michael Schumacher,Mercedes,58,Technical,17,0,2012,Hungary,11
1,3,Jenson Button,McLaren-Mercedes,44,1:29:08.530,1,25,2012,Belgium,12
2,1,Sebastian Vettel,Red Bull Racing-Renault,44,+13.6 secs,10,18,2012,Belgium,12
3,9,Kimi Rikknen,Lotus-Renault,44,+25.3 secs,3,15,2012,Belgium,12
4,12,Nico Hulkenberg,Force India-Mercedes,44,+27.8 secs,11,12,2012,Belgium,12
5,6,Felipe Massa,Ferrari,44,+29.8 secs,14,10,2012,Belgium,12
6,2,Mark Webber,Red Bull Racing-Renault,44,+31.2 secs,12,8,2012,Belgium,12
7,7,Michael Schumacher,Mercedes,44,+53.3 secs,13,6,2012,Belgium,12
8,17,Jean-Eric Vergne,STR-Ferrari,44,+58.8 secs,15,4,2012,Belgium,12
9,16,Daniel Ricciardo,STR-Ferrari,44,+62.9 secs,16,2,2012,Belgium,12
10,11,Paul di Resta,Force India-Mercedes,44,+63.7 secs,9,1,2012,Belgium,12
11,8,Nico Rosberg,Mercedes,44,+65.1 secs,23,0,2012,Belgium,12
12,19,Bruno Senna,Williams-Renault,44,+71.5 secs,17,0,2012,Belgium,12
13,14,Kamui Kobayashi,Sauber-Ferrari,43,+1 Lap,2,0,2012,Belgium,12
14,21,Vitaly Petrov,Caterham-Renault,43,+1 Lap,19,0,2012,Belgium,12
15,24,Timo Glock,Marussia-Cosworth,43,+1 Lap,20,0,2012,Belgium,12
16,25,Charles Pic,Marussia-Cosworth,43,+1 Lap,22,0,2012,Belgium,12
17,20,Heikki Kovalainen,Caterham-Renault,43,+1 Lap,18,0,2012,Belgium,12
18,22,Pedro de la Rosa,HRT-Cosworth,43,+1 Lap,21,0,2012,Belgium,12
Ret,23,Narain Karthikeyan,HRT-Cosworth,29,Accident,24,0,2012,Belgium,12
Ret,18,Pastor Maldonado,Williams-Renault,4,Accident,6,0,2012,Belgium,12
Ret,15,Sergio Perez,Sauber-Ferrari,0,Accident,4,0,2012,Belgium,12
Ret,5,Fernando Alonso,Ferrari,0,Accident,5,0,2012,Belgium,12
Ret,4,Lewis Hamilton,McLaren-Mercedes,0,Accident,7,0,2012,Belgium,12
Ret,10,Romain Grosjean,Lotus-Renault,0,Accident,8,0,2012,Belgium,12
1,4,Lewis Hamilton,McLaren-Mercedes,53,1:19:41.221,1,25,2012,Italy,13
2,15,Sergio Perez,Sauber-Ferrari,53,+4.3 secs,12,18,2012,Italy,13
3,5,Fernando Alonso,Ferrari,53,+20.5 secs,10,15,2012,Italy,13
4,6,Felipe Massa,Ferrari,53,+29.6 secs,3,12,2012,Italy,13
5,9,Kimi Rikknen,Lotus-Renault,53,+30.8 secs,7,10,2012,Italy,13
6,7,Michael Schumacher,Mercedes,53,+31.2 secs,4,8,2012,Italy,13
7,8,Nico Rosberg,Mercedes,53,+33.5 secs,6,6,2012,Italy,13
8,11,Paul di Resta,Force India-Mercedes,53,+41.0 secs,9,4,2012,Italy,13
9,14,Kamui Kobayashi,Sauber-Ferrari,53,+43.8 secs,8,2,2012,Italy,13
10,19,Bruno Senna,Williams-Renault,53,+48.1 secs,13,1,2012,Italy,13
11,18,Pastor Maldonado,Williams-Renault,53,+48.6 secs,22,0,2012,Italy,13
12,16,Daniel Ricciardo,STR-Ferrari,53,+50.3 secs,14,0,2012,Italy,13
13,10,Jerome D'Ambrosio,Lotus-Renault,53,+75.8 secs,15,0,2012,Italy,13
14,20,Heikki Kovalainen,Caterham-Renault,52,+1 Lap,17,0,2012,Italy,13
15,21,Vitaly Petrov,Caterham-Renault,52,+1 Lap,18,0,2012,Italy,13
16,25,Charles Pic,Marussia-Cosworth,52,+1 Lap,20,0,2012,Italy,13
17,24,Timo Glock,Marussia-Cosworth,52,+1 Lap,19,0,2012,Italy,13
18,22,Pedro de la Rosa,HRT-Cosworth,52,+1 Lap,23,0,2012,Italy,13
19,23,Narain Karthikeyan,HRT-Cosworth,52,+1 Lap,21,0,2012,Italy,13
20,2,Mark Webber,Red Bull Racing-Renault,51,Spin,11,0,2012,Italy,13
21,12,Nico Hulkenberg,Force India-Mercedes,50,Brakes,24,0,2012,Italy,13
22,1,Sebastian Vettel,Red Bull Racing-Renault,47,Alternator,5,0,2012,Italy,13
Ret,3,Jenson Button,McLaren-Mercedes,32,Fuel system,2,0,2012,Italy,13
Ret,17,Jean-Eric Vergne,STR-Ferrari,8,Spin,16,0,2012,Italy,13
1,1,Sebastian Vettel,Red Bull Racing-Renault,59,2:00:26.144,3,25,2012,Singapore,14
2,3,Jenson Button,McLaren-Mercedes,59,+8.9 secs,4,18,2012,Singapore,14
3,5,Fernando Alonso,Ferrari,59,+15.2 secs,5,15,2012,Singapore,14
4,11,Paul di Resta,Force India-Mercedes,59,+19.0 secs,6,12,2012,Singapore,14
5,8,Nico Rosberg,Mercedes,59,+34.7 secs,10,10,2012,Singapore,14
6,9,Kimi Rikknen,Lotus-Renault,59,+35.7 secs,12,8,2012,Singapore,14
7,10,Romain Grosjean,Lotus-Renault,59,+36.6 secs,8,6,2012,Singapore,14
8,6,Felipe Massa,Ferrari,59,+42.8 secs,13,4,2012,Singapore,14
9,16,Daniel Ricciardo,STR-Ferrari,59,+45.8 secs,15,2,2012,Singapore,14
10,15,Sergio Perez,Sauber-Ferrari,59,+50.6 secs,14,1,2012,Singapore,14
11,2,Mark Webber,Red Bull Racing-Renault,59,+67.1 secs,7,0,2012,Singapore,14
12,24,Timo Glock,Marussia-Cosworth,59,+91.9 secs,20,0,2012,Singapore,14
13,14,Kamui Kobayashi,Sauber-Ferrari,59,+97.1 secs,17,0,2012,Singapore,14
14,12,Nico Hulkenberg,Force India-Mercedes,59,+99.4 secs,11,0,2012,Singapore,14
15,20,Heikki Kovalainen,Caterham-Renault,59,+107.9 secs,19,0,2012,Singapore,14
16,25,Charles Pic,Marussia-Cosworth,59,+132.9 secs,21,0,2012,Singapore,14
17,22,Pedro de la Rosa,HRT-Cosworth,58,+1 Lap,24,0,2012,Singapore,14
18,19,Bruno Senna,Williams-Renault,57,Engine,22,0,2012,Singapore,14
19,21,Vitaly Petrov,Caterham-Renault,57,+2 Laps,18,0,2012,Singapore,14
Ret,17,Jean-Eric Vergne,STR-Ferrari,38,Accident,16,0,2012,Singapore,14
Ret,7,Michael Schumacher,Mercedes,38,Accident,9,0,2012,Singapore,14
Ret,18,Pastor Maldonado,Williams-Renault,36,Hydraulics,2,0,2012,Singapore,14
Ret,23,Narain Karthikeyan,HRT-Cosworth,30,Accident,23,0,2012,Singapore,14
Ret,4,Lewis Hamilton,McLaren-Mercedes,22,Gearbox,1,0,2012,Singapore,14
1,1,Sebastian Vettel,Red Bull Racing-Renault,53,1:28:56.242,1,25,2012,Japan,15
2,6,Felipe Massa,Ferrari,53,+20.6 secs,10,18,2012,Japan,15
3,14,Kamui Kobayashi,Sauber-Ferrari,53,+24.5 secs,3,15,2012,Japan,15
4,3,Jenson Button,McLaren-Mercedes,53,+25.0 secs,8,12,2012,Japan,15
5,4,Lewis Hamilton,McLaren-Mercedes,53,+46.4 secs,9,10,2012,Japan,15
6,9,Kimi Rikknen,Lotus-Renault,53,+50.4 secs,7,8,2012,Japan,15
7,12,Nico Hulkenberg,Force India-Mercedes,53,+51.1 secs,15,6,2012,Japan,15
8,18,Pastor Maldonado,Williams-Renault,53,+52.3 secs,12,4,2012,Japan,15
9,2,Mark Webber,Red Bull Racing-Renault,53,+54.6 secs,2,2,2012,Japan,15
10,16,Daniel Ricciardo,STR-Ferrari,53,+66.9 secs,14,1,2012,Japan,15
11,7,Michael Schumacher,Mercedes,53,+67.7 secs,23,0,2012,Japan,15
12,11,Paul di Resta,Force India-Mercedes,53,+83.4 secs,11,0,2012,Japan,15
13,17,Jean-Eric Vergne,STR-Ferrari,53,+88.6 secs,19,0,2012,Japan,15
14,19,Bruno Senna,Williams-Renault,53,+88.7 secs,16,0,2012,Japan,15
15,20,Heikki Kovalainen,Caterham-Renault,52,+1 Lap,17,0,2012,Japan,15
16,24,Timo Glock,Marussia-Cosworth,52,+1 Lap,18,0,2012,Japan,15
17,21,Vitaly Petrov,Caterham-Renault,52,+1 Lap,22,0,2012,Japan,15
18,22,Pedro de la Rosa,HRT-Cosworth,52,+1 Lap,20,0,2012,Japan,15
19,10,Romain Grosjean,Lotus-Renault,51,Retired,4,0,2012,Japan,15
Ret,25,Charles Pic,Marussia-Cosworth,37,Engine,21,0,2012,Japan,15
Ret,23,Narain Karthikeyan,HRT-Cosworth,32,Retired,24,0,2012,Japan,15
Ret,15,Sergio Perez,Sauber-Ferrari,18,Spin,5,0,2012,Japan,15
Ret,5,Fernando Alonso,Ferrari,0,Accident,6,0,2012,Japan,15
Ret,8,Nico Rosberg,Mercedes,0,Accident,13,0,2012,Japan,15
1,1,Sebastian Vettel,Red Bull Racing-Renault,55,1:36:28.651,2,25,2012,Korea,16
2,2,Mark Webber,Red Bull Racing-Renault,55,+8.2 secs,1,18,2012,Korea,16
3,5,Fernando Alonso,Ferrari,55,+13.9 secs,4,15,2012,Korea,16
4,6,Felipe Massa,Ferrari,55,+20.1 secs,6,12,2012,Korea,16
5,9,Kimi Rikknen,Lotus-Renault,55,+36.7 secs,5,10,2012,Korea,16
6,12,Nico Hulkenberg,Force India-Mercedes,55,+45.3 secs,8,8,2012,Korea,16
7,10,Romain Grosjean,Lotus-Renault,55,+54.8 secs,7,6,2012,Korea,16
8,17,Jean-Eric Vergne,STR-Ferrari,55,+69.5 secs,16,4,2012,Korea,16
9,16,Daniel Ricciardo,STR-Ferrari,55,+71.7 secs,21,2,2012,Korea,16
10,4,Lewis Hamilton,McLaren-Mercedes,55,+79.6 secs,3,1,2012,Korea,16
11,15,Sergio Perez,Sauber-Ferrari,55,+80.0 secs,12,0,2012,Korea,16
12,11,Paul di Resta,Force India-Mercedes,55,+84.4 secs,14,0,2012,Korea,16
13,7,Michael Schumacher,Mercedes,55,+89.2 secs,10,0,2012,Korea,16
14,18,Pastor Maldonado,Williams-Renault,55,+94.9 secs,15,0,2012,Korea,16
15,19,Bruno Senna,Williams-Renault,55,+96.9 secs,17,0,2012,Korea,16
16,21,Vitaly Petrov,Caterham-Renault,54,+1 Lap,18,0,2012,Korea,16
17,20,Heikki Kovalainen,Caterham-Renault,54,+1 Lap,19,0,2012,Korea,16
18,24,Timo Glock,Marussia-Cosworth,54,+1 Lap,20,0,2012,Korea,16
19,25,Charles Pic,Marussia-Cosworth,53,+2 Laps,24,0,2012,Korea,16
20,23,Narain Karthikeyan,HRT-Cosworth,53,+2 Laps,23,0,2012,Korea,16
Ret,22,Pedro de la Rosa,HRT-Cosworth,16,Throttle,22,0,2012,Korea,16
Ret,14,Kamui Kobayashi,Sauber-Ferrari,16,Accident damage,13,0,2012,Korea,16
Ret,8,Nico Rosberg,Mercedes,1,Accident,9,0,2012,Korea,16
Ret,3,Jenson Button,McLaren-Mercedes,0,Accident,11,0,2012,Korea,16
1,1,Sebastian Vettel,Red Bull Racing-Renault,60,1:31:10.744,1,25,2012,India,17
2,5,Fernando Alonso,Ferrari,60,+9.4 secs,5,18,2012,India,17
3,2,Mark Webber,Red Bull Racing-Renault,60,+13.2 secs,2,15,2012,India,17
4,4,Lewis Hamilton,McLaren-Mercedes,60,+13.9 secs,3,12,2012,India,17
5,3,Jenson Button,McLaren-Mercedes,60,+26.2 secs,4,10,2012,India,17
6,6,Felipe Massa,Ferrari,60,+44.6 secs,6,8,2012,India,17
7,9,Kimi Rikknen,Lotus-Renault,60,+45.2 secs,7,6,2012,India,17
8,12,Nico Hulkenberg,Force India-Mercedes,60,+54.9 secs,12,4,2012,India,17
9,10,Romain Grosjean,Lotus-Renault,60,+56.1 secs,11,2,2012,India,17
10,19,Bruno Senna,Williams-Renault,60,+74.9 secs,13,1,2012,India,17
11,8,Nico Rosberg,Mercedes,60,+81.6 secs,10,0,2012,India,17
12,11,Paul di Resta,Force India-Mercedes,60,+82.8 secs,16,0,2012,India,17
13,16,Daniel Ricciardo,STR-Ferrari,60,+86.0 secs,15,0,2012,India,17
14,14,Kamui Kobayashi,Sauber-Ferrari,60,+86.4 secs,17,0,2012,India,17
15,17,Jean-Eric Vergne,STR-Ferrari,59,+1 Lap,18,0,2012,India,17
16,18,Pastor Maldonado,Williams-Renault,59,+1 Lap,9,0,2012,India,17
17,21,Vitaly Petrov,Caterham-Renault,59,+1 Lap,19,0,2012,India,17
18,20,Heikki Kovalainen,Caterham-Renault,59,+1 Lap,20,0,2012,India,17
19,25,Charles Pic,Marussia-Cosworth,59,+1 Lap,24,0,2012,India,17
20,24,Timo Glock,Marussia-Cosworth,58,+2 Laps,21,0,2012,India,17
21,23,Narain Karthikeyan,HRT-Cosworth,58,+2 Laps,23,0,2012,India,17
22,7,Michael Schumacher,Mercedes,55,Gearbox,14,0,2012,India,17
Ret,22,Pedro de la Rosa,HRT-Cosworth,42,Brakes,22,0,2012,India,17
Ret,15,Sergio Perez,Sauber-Ferrari,20,Puncture damage,8,0,2012,India,17
1,9,Kimi Rikknen,Lotus-Renault,55,1:45:58.667,4,25,2012,Abu Dhabi,18
2,5,Fernando Alonso,Ferrari,55,+0.8 secs,6,18,2012,Abu Dhabi,18
3,1,Sebastian Vettel,Red Bull Racing-Renault,55,+4.1 secs,24,15,2012,Abu Dhabi,18
4,3,Jenson Button,McLaren-Mercedes,55,+7.7 secs,5,12,2012,Abu Dhabi,18
5,18,Pastor Maldonado,Williams-Renault,55,+13.0 secs,3,10,2012,Abu Dhabi,18
6,14,Kamui Kobayashi,Sauber-Ferrari,55,+20.0 secs,15,8,2012,Abu Dhabi,18
7,6,Felipe Massa,Ferrari,55,+22.8 secs,8,6,2012,Abu Dhabi,18
8,19,Bruno Senna,Williams-Renault,55,+23.5 secs,14,4,2012,Abu Dhabi,18
9,11,Paul di Resta,Force India-Mercedes,55,+24.1 secs,12,2,2012,Abu Dhabi,18
10,16,Daniel Ricciardo,STR-Ferrari,55,+27.4 secs,16,1,2012,Abu Dhabi,18
11,7,Michael Schumacher,Mercedes,55,+28.0 secs,13,0,2012,Abu Dhabi,18
12,17,Jean-Eric Vergne,STR-Ferrari,55,+34.9 secs,17,0,2012,Abu Dhabi,18
13,20,Heikki Kovalainen,Caterham-Renault,55,+47.7 secs,18,0,2012,Abu Dhabi,18
14,24,Timo Glock,Marussia-Cosworth,55,+56.4 secs,21,0,2012,Abu Dhabi,18
15,15,Sergio Perez,Sauber-Ferrari,55,+56.7 secs,11,0,2012,Abu Dhabi,18
16,21,Vitaly Petrov,Caterham-Renault,55,+64.5 secs,20,0,2012,Abu Dhabi,18
17,22,Pedro de la Rosa,HRT-Cosworth,55,+71.7 secs,22,0,2012,Abu Dhabi,18
Ret,25,Charles Pic,Marussia-Cosworth,41,Engine,19,0,2012,Abu Dhabi,18
Ret,10,Romain Grosjean,Lotus-Renault,37,Accident,9,0,2012,Abu Dhabi,18
Ret,2,Mark Webber,Red Bull Racing-Renault,37,Accident,2,0,2012,Abu Dhabi,18
Ret,4,Lewis Hamilton,McLaren-Mercedes,19,Fuel pressure,1,0,2012,Abu Dhabi,18
Ret,23,Narain Karthikeyan,HRT-Cosworth,7,Accident,23,0,2012,Abu Dhabi,18
Ret,8,Nico Rosberg,Mercedes,7,Accident,7,0,2012,Abu Dhabi,18
Ret,12,Nico Hulkenberg,Force India-Mercedes,0,Accident,10,0,2012,Abu Dhabi,18
1,4,Lewis Hamilton,McLaren-Mercedes,56,1:35:55.269,2,25,2012,United States,19
2,1,Sebastian Vettel,Red Bull Racing-Renault,56,+0.6 secs,1,18,2012,United States,19
3,5,Fernando Alonso,Ferrari,56,+39.2 secs,7,15,2012,United States,19
4,6,Felipe Massa,Ferrari,56,+46.0 secs,11,12,2012,United States,19
5,3,Jenson Button,McLaren-Mercedes,56,+56.4 secs,12,10,2012,United States,19
6,9,Kimi Rikknen,Lotus-Renault,56,+64.4 secs,4,8,2012,United States,19
7,10,Romain Grosjean,Lotus-Renault,56,+70.3 secs,8,6,2012,United States,19
8,12,Nico Hulkenberg,Force India-Mercedes,56,+73.7 secs,6,4,2012,United States,19
9,18,Pastor Maldonado,Williams-Renault,56,+74.5 secs,9,2,2012,United States,19
10,19,Bruno Senna,Williams-Renault,56,+75.1 secs,10,1,2012,United States,19
11,15,Sergio Perez,Sauber-Ferrari,56,+84.3 secs,15,0,2012,United States,19
12,16,Daniel Ricciardo,STR-Ferrari,56,+84.8 secs,18,0,2012,United States,19
13,8,Nico Rosberg,Mercedes,56,+85.5 secs,17,0,2012,United States,19
14,14,Kamui Kobayashi,Sauber-Ferrari,55,+1 Lap,16,0,2012,United States,19
15,11,Paul di Resta,Force India-Mercedes,55,+1 Lap,13,0,2012,United States,19
16,7,Michael Schumacher,Mercedes,55,+1 Lap,5,0,2012,United States,19
17,21,Vitaly Petrov,Caterham-Renault,55,+1 Lap,21,0,2012,United States,19
18,20,Heikki Kovalainen,Caterham-Renault,55,+1 Lap,22,0,2012,United States,19
19,24,Timo Glock,Marussia-Cosworth,55,+1 Lap,19,0,2012,United States,19
20,25,Charles Pic,Marussia-Cosworth,54,+2 Laps,20,0,2012,United States,19
21,22,Pedro de la Rosa,HRT-Cosworth,54,+2 Laps,23,0,2012,United States,19
22,23,Narain Karthikeyan,HRT-Cosworth,54,+2 Laps,24,0,2012,United States,19
Ret,2,Mark Webber,Red Bull Racing-Renault,16,Alternator,3,0,2012,United States,19
Ret,17,Jean-Eric Vergne,STR-Ferrari,14,Suspension,14,0,2012,United States,19
1,3,Jenson Button,McLaren-Mercedes,71,1:45:22.656,2,25,2012,Brasil,20
2,5,Fernando Alonso,Ferrari,71,+2.7 secs,7,18,2012,Brasil,20
3,6,Felipe Massa,Ferrari,71,+3.6 secs,5,15,2012,Brasil,20
4,2,Mark Webber,Red Bull Racing-Renault,71,+4.9 secs,3,12,2012,Brasil,20
5,12,Nico Hulkenberg,Force India-Mercedes,71,+5.7 secs,6,10,2012,Brasil,20
6,1,Sebastian Vettel,Red Bull Racing-Renault,71,+9.4 secs,4,8,2012,Brasil,20
7,7,Michael Schumacher,Mercedes,71,+11.9 secs,13,6,2012,Brasil,20
8,17,Jean-Eric Vergne,STR-Ferrari,71,+28.6 secs,17,4,2012,Brasil,20
9,14,Kamui Kobayashi,Sauber-Ferrari,71,+31.2 secs,14,2,2012,Brasil,20
10,9,Kimi Rikknen,Lotus-Renault,70,+1 Lap,8,1,2012,Brasil,20
11,21,Vitaly Petrov,Caterham-Renault,70,+1 Lap,19,0,2012,Brasil,20
12,25,Charles Pic,Marussia-Cosworth,70,+1 Lap,22,0,2012,Brasil,20
13,16,Daniel Ricciardo,STR-Ferrari,70,+1 Lap,15,0,2012,Brasil,20
14,20,Heikki Kovalainen,Caterham-Renault,70,+1 Lap,20,0,2012,Brasil,20
15,8,Nico Rosberg,Mercedes,70,+1 Lap,9,0,2012,Brasil,20
16,24,Timo Glock,Marussia-Cosworth,70,+1 Lap,21,0,2012,Brasil,20
17,22,Pedro de la Rosa,HRT-Cosworth,69,+2 Laps,24,0,2012,Brasil,20
18,23,Narain Karthikeyan,HRT-Cosworth,69,+2 Laps,23,0,2012,Brasil,20
19,11,Paul di Resta,Force India-Mercedes,68,+3 Laps,10,0,2012,Brasil,20
Ret,4,Lewis Hamilton,McLaren-Mercedes,54,Accident,1,0,2012,Brasil,20
Ret,10,Romain Grosjean,Lotus-Renault,5,Accident,18,0,2012,Brasil,20
Ret,18,Pastor Maldonado,Williams-Renault,1,Accident,16,0,2012,Brasil,20
Ret,19,Bruno Senna,Williams-Renault,0,Accident,11,0,2012,Brasil,20
Ret,15,Sergio Perez,Sauber-Ferrari,0,Accident,12,0,2012,Brasil,20
